,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
105,1,전통시장,2130227,고척골목시장상점가(그라운드 고척),122388,57251,65136,26458,17003,15116,19184,17775,26850,23011,23869,18000,19322,25127,13060,16574,16640,16718,16276,16472,19524,20184
106,1,전통시장,2130226,고척프라자,33111,15350,17761,7222,4592,4152,5287,4702,7157,6247,6258,4726,5224,7018,3637,4456,4466,4500,4366,4426,5328,5571
107,1,전통시장,2130225,개봉중앙시장,496354,228299,268053,82408,59343,69305,74747,74022,136528,140287,95913,52673,53778,84306,69394,69363,69206,69184,68721,68712,74345,76822
108,1,전통시장,2130224,개봉프라자(고척근린시장),5165,2526,2640,695,523,611,911,871,1555,1563,1169,587,564,706,575,717,709,708,696,708,788,839
109,1,전통시장,2130223,고척근린시장,100311,49018,51295,15159,9677,12423,15825,18149,29079,17363,17567,13580,15543,23012,13245,13810,13899,13843,13790,14007,15634,15329
110,1,전통시장,2130222,오류시장,42032,20450,21581,4458,8358,8624,6098,6131,8363,7500,7474,5456,5995,9449,6154,5733,5693,5782,5765,5770,6594,6693
111,1,전통시장,2130221,"남부골목시장(남부화곡시장, 남부시장)",617492,279326,338167,81721,79634,102065,99127,88770,166175,154176,120885,73027,77934,112315,79154,86394,85527,85591,84762,86171,94381,94669
112,1,전통시장,2130220,등마루시장,35654,16266,19389,4920,5441,7893,6195,4180,7024,10486,7175,4008,3896,5314,4775,5116,5052,5175,5084,5012,5067,5148
113,1,전통시장,2130219,까치산시장,1328672,619577,709095,120560,226228,252125,215124,188984,325653,237535,267387,167772,180886,282936,192160,190177,189308,189808,190049,191953,192057,185319
114,1,전통시장,2130218,신월중앙시장,57578,26332,31246,9984,8387,9842,10307,7689,11368,10718,11201,9067,9418,11343,5833,8191,8074,8345,8362,8427,8335,7844
115,1,전통시장,2130217,화곡본동시장,146188,68016,78172,21460,22205,25543,23900,18596,34483,31044,26607,17817,20230,30124,20365,20795,20619,20684,20643,20971,21425,21047
116,1,전통시장,2130216,화곡중앙시장,270005,118206,151799,42155,31957,43671,41431,38353,72438,56440,47201,33096,37746,56752,38770,37702,37464,37493,37698,37306,41036,41305
117,1,전통시장,2130215,대원종합시장,59847,27590,32257,9877,7588,9213,9064,8891,15214,10905,10402,7742,9591,13085,8122,8487,8464,8526,8583,8482,8824,8480
118,1,전통시장,2130214,송화벽화시장(송화골목시장),69217,31146,38071,16834,8813,9108,11224,9172,14068,15232,13664,9096,8843,13300,9082,10015,9831,9876,10019,10214,10043,9221
119,1,전통시장,2130213,방신전통시장,129973,62625,67349,20161,12532,21596,18856,19865,36965,23370,24513,18408,19973,28333,15376,17668,17475,17282,17220,17490,20945,21894
120,1,전통시장,2130212,공항시장,188586,96728,91858,15669,39909,38496,28490,27483,38541,36433,38947,28810,27698,35217,21484,26205,26164,26635,26583,27211,27973,27815
121,1,전통시장,2130211,신정2동 골목시장(오목교중앙시장),287995,135398,152596,58655,37546,31503,47930,49093,63265,71094,54212,34165,35644,52469,40408,39912,39920,40064,39909,39796,43946,44448
122,1,전통시장,2130210,목2동시장,300743,140189,160553,35079,47818,67558,45462,41117,63708,76248,57350,33964,35564,55635,41981,41617,41370,41423,41636,41539,46161,46997
